ID Factura;Tipo de Factura;Ciudad;Tipo de cliente;Genero;Producto;Precio Unitario;Cantidad;Fecha;hora;Medio de Pago;Empleado;Identificador de pago
750-67-8428;A;Yangon;Member;Female;Crema facial reaffirmant Luxe caviar Deliplus;5;7;1/5/2019;13:08;Ewallet;257020;'0000003100099475144530
226-31-3081;C;Naypyitaw;Normal;Female;Leche entera Asturiana;1.25;5;3/8/2019;10:29;Cash;257021;--
631-41-3108;A;Yangon;Normal;Male;Combinado de aperitivos Hacendado;1.2;7;3/3/2019;13:23;Credit card;257022;4660-1046-8238-6585
123-19-1176;A;Yangon;Member;Male;Carne de pimiento choricero El Sol;1.3;8;1/27/2019;20:33;Ewallet;257023;'0000003100063398308101
373-73-7910;A;Yangon;Normal;Male;Queso de cabra Hacendado rulo;1.9;7;2/8/2019;10:37;Ewallet;257024;'0000003100092305102733
699-14-3026;C;Naypyitaw;Normal;Male;Canelones de carne con bechamel Hacendado ultracongelados;2.2;7;3/25/2019;18:30;Ewallet;257025;'0000003100080030742752
355-53-5943;A;Yangon;Member;Female;Bebida Bahamas Hacendado;0.95;6;2/25/2019;14:36;Ewallet;257020;'0000003100078776292873
315-22-5665;C;Naypyitaw;Normal;Female;PatÃ© perro adulto Delikut con cordero y verduras;1.55;10;2/24/2019;11:38;Ewallet;257021;'0000003100055234455211
665-32-9167;A;Yangon;Member;Female;PatÃ© con pimientos del piquillo Hacendado;1.35;2;1/10/2019;17:15;Credit card;257022;5422-1961-6348-5262
692-92-5582;B;Mandalay;Member;Female;Fideos orientales Yakisoba classic Gallina Blanca;1.59;3;2/20/2019;13:27;Credit card;257023;4583-4349-1623-8219
351-62-0822;B;Mandalay;Member;Female;Zumo de tomate picante Big Tom;1.65;4;2/6/2019;18:07;Ewallet;257024;'0000003100047354427920
529-56-3974;B;Mandalay;Member;Male;ChampiÃ±Ã³n Portobello;1.74;4;3/9/2019;17:03;Cash;257025;--
365-64-0515;A;Yangon;Normal;Female;Barrita sustitutivo de comida Belladieta sabor chocolate negro;5.4;5;2/12/2019;10:25;Ewallet;257020;'0000003100093701852130
252-56-2699;A;Yangon;Normal;Male;TÃ© matcha en polvo Hacendado;2.75;10;2/7/2019;16:48;Ewallet;257021;'0000003100088979264280
829-34-3910;A;Yangon;Normal;Female;Harina de arroz Hacendado;0.95;10;3/29/2019;19:21;Cash;257022;--
299-46-1805;B;Mandalay;Member;Female;TÃ³nica zero calorÃ­as Schweppes;0.69;6;1/15/2019;16:19;Cash;257023;--
656-95-9349;A;Yangon;Member;Female;Vino tinto D.O Rioja Comportillo crianza;2.9;7;3/11/2019;11:03;Credit card;257024;5292-5287-2228-9737
765-26-6951;A;Yangon;Normal;Male;PlÃ¡tano macho;0.58;6;1/1/2019;10:39;Credit card;257025;5832-7192-8310-9337
329-62-1586;A;Yangon;Normal;Male;Ampollas cabello Pantene;4.75;3;1/21/2019;18:00;Credit card;257020;5938-7594-3556-1655
319-50-3348;B;Mandalay;Normal;Female;Pizza de espinacas Hacendado ultracongelada;2.3;2;3/11/2019;15:30;Ewallet;257021;'0000003100085050690811
300-71-4605;C;Naypyitaw;Member;Male;BiberÃ³n 360 ml tetina lÃ¡tex papilla +4 meses Deliplus;4;5;2/25/2019;11:24;Ewallet;257022;'0000003100099826610756
371-85-5789;B;Mandalay;Normal;Male;Cerveza sin gluten Steinburg 0,0% sin alcohol;2.1;3;3/5/2019;10:40;Ewallet;257023;'0000003100069924899753
273-16-6619;B;Mandalay;Normal;Male;Caramelo pikotas masticable Dulciora;1.1;2;3/15/2019;12:20;Credit card;257024;5138-6720-3335-4288
636-48-8204;A;Yangon;Normal;Male;Refresco cola Hacendado Zero azÃºcar Zero cafeÃ­na;0.5;5;2/17/2019;11:15;Ewallet;257025;'0000003100097927384195
